tax_id	kingdom	phylum	class	order	family	genus	species	strain	kingdom_id	phylum_id	class_id	order_id	family_id	genus_id	species_id	ftp_path
24	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella putrefaciens	4H	3379134.0	1224.0	1236.0	135622.0	267890.0	22.0	24	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/402/875/GCF_025402875.1_ASM2540287v1/GCF_025402875.1_ASM2540287v1_protein.faa.gz
24	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella putrefaciens	ATCC 8071	3379134.0	1224.0	1236.0	135622.0	267890.0	22.0	24	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/406/325/GCF_016406325.1_ASM1640632v1/GCF_016406325.1_ASM1640632v1_protein.faa.gz
24	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella putrefaciens	CGMCC-1.6515	3379134.0	1224.0	1236.0	135622.0	267890.0	22.0	24	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/406/305/GCF_016406305.1_ASM1640630v1/GCF_016406305.1_ASM1640630v1_protein.faa.gz
24	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella putrefaciens	FDAARGOS_681	3379134.0	1224.0	1236.0	135622.0	267890.0	22.0	24	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/575/GCF_009730575.1_ASM973057v1/GCF_009730575.1_ASM973057v1_protein.faa.gz
24	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella putrefaciens	WS13	3379134.0	1224.0	1236.0	135622.0	267890.0	22.0	24	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/044/255/GCF_003044255.1_ASM304425v1/GCF_003044255.1_ASM304425v1_protein.faa.gz
24	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella putrefaciens	XY07	3379134.0	1224.0	1236.0	135622.0	267890.0	22.0	24	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/068/195/GCF_017068195.1_ASM1706819v1/GCF_017068195.1_ASM1706819v1_protein.faa.gz
24	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella putrefaciens	YZ-J	3379134.0	1224.0	1236.0	135622.0	267890.0	22.0	24	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/599/125/GCF_019599125.1_ASM1959912v1/GCF_019599125.1_ASM1959912v1_protein.faa.gz
34	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus	ATCC 27925	3379134.0	2818505.0	32015.0	29.0	31.0	32.0	34	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/895/115/GCF_019895115.1_ASM1989511v1/GCF_019895115.1_ASM1989511v1_protein.faa.gz
34	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus	DK 1622	3379134.0	2818505.0	32015.0	29.0	31.0	32.0	34	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/685/GCF_000012685.1_ASM1268v1/GCF_000012685.1_ASM1268v1_protein.faa.gz
34	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus	DK1622::pDPO-Mxn116-Pvan-Tpase	3379134.0	2818505.0	32015.0	29.0	31.0	32.0	34	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/775/755/GCF_015775755.1_ASM1577575v1/GCF_015775755.1_ASM1577575v1_protein.faa.gz
